,bAC,bIR,bNAC,bSTUT,cAC,cADpyr,cIR,cNAC,cSTUT,dNAC,dSTUT
APr,10121.879672317667,4560.3116128966485,7115.837437825787,1165.3831445450755,9600.241746474128,35960.70474827993,1018.0047915633311,2819.5979311997676,1391.8763798365196,600.3648235646117,1635.7732686868676
AQ,1657.3273882017338,906.023939442537,1556.8845692220766,365.51701110393606,2673.638539254564,1189.273040525798,316.27616326461794,772.4669195672193,449.4342987299742,217.07542309138142,367.4116984077667
ARH,39110.616272025116,20041.63026042543,32958.05278813327,7040.349490059313,51916.832910313846,8934.723126812769,6241.193012784449,15543.381597042553,8560.744860381,3839.9472179180557,7208.000499772808
ASO,38429.74692350422,16881.224422089825,25426.19959121909,3845.5236451193496,32325.33314894466,4517.098386611917,3448.734839253803,9973.13420437564,4505.302769258917,1716.347054144617,5360.766200452159
AT,4725.537684016056,2841.4584432890256,5226.551043166408,1349.1408142160717,9456.735092718653,2825.5964172611652,1161.2520493638706,2615.8652797771897,1685.942628685362,861.4923937907237,1349.0997270815049
AUDd1,1434.577793183091,541.0984673332123,795.1912035165552,58.581218035544694,721.143172079752,2275.455485872084,46.81193880619965,182.70873965334465,66.05994079050443,26.72672473926378,215.1269835300322
AUDd23,10408.785803896071,4052.038495257963,6305.401125963766,617.0187845751677,6981.254596431462,47925.770716630985,442.2283838248923,1603.8229312672613,738.9416817641172,418.63619512815876,1927.6611807143552
AUDd4,9868.459775710779,4166.629770214788,6255.695642278762,844.6037659873543,8043.467970543557,38810.14680794355,699.3633291160397,2327.0728501060926,982.9366692842309,421.9062434650404,1486.5295008620508
AUDd5,4347.150854300394,1838.8527576176232,2753.891360605285,368.4624200856469,3312.4066045786767,12956.19651491797,322.9390576256176,986.1224953082817,429.39853137984187,167.3955850484087,622.4484536686898
AUDd6a,9789.95162814784,3841.2377284066774,5453.200342874979,491.3250902430986,5038.637275262595,47126.04061016094,461.9303644007315,1571.7151975138381,539.4115492707157,125.56764389759577,1169.6287339623912
AUDd6b,10229.9189078981,4043.7088979339323,5721.099093108735,536.2380065626081,5369.092607675214,40615.72653003114,509.43935055404785,1712.6549948406823,588.2411813131268,130.8050055095874,1185.8166152930062
AUDp1,2001.7528022455597,757.3548498578991,1119.000014310167,85.35277211654376,1044.506050592525,3513.427177086086,66.85006339953124,261.615975345993,96.96003782871529,41.717240141354964,307.13024019740084
AUDp23,12667.326957094017,4803.931404174639,7311.114228508788,589.3048199512072,6976.388554431982,61579.9027148444,444.87849704826743,1604.3746242074535,694.350718410623,354.5181198217576,2158.5885425544343
AUDp4,13162.44520843575,5526.082477456342,8286.040557846798,1090.387407136882,10307.253766252501,50132.56799379285,916.2880460117202,2988.048533041102,1268.7911379154232,530.9068226822005,1959.7362751287137
AUDp5,6035.014076928252,2484.8608981572693,3666.9172490626856,434.8464002429917,3962.845956680856,18052.54839828836,394.3622828918331,1195.2285634463803,501.305940316387,173.40319749793426,814.6834795809684
AUDp6a,9176.179857854446,3644.856957515371,5123.321369974726,491.7725597149819,4901.021314555783,46094.37586900872,468.79206213793924,1597.099140648469,536.2871998980607,112.00977794319355,1024.9926820393496
AUDp6b,10611.900437698061,4310.282647496682,6154.468479113306,672.1699594581419,6316.445595265433,42922.88681999466,631.3783776169496,2033.5456098030597,751.0058487712477,198.46336046739134,1240.0018418936684
AUDpo1,1883.4740260687213,711.8012034713869,1050.1911711749506,79.55424365265608,987.403842215729,3021.5969182914846,61.53579463727291,247.15029224729744,90.11994154715813,39.14984480438631,288.86647240987054
AUDpo23,11478.454500712092,4371.352904044062,6691.044836035106,563.1164720547324,6706.79279467582,55565.311781202516,409.8206835256505,1528.8088657143926,666.2332950780735,359.52943457575344,2012.0684408180505
AUDpo4,11973.956580692857,5094.462262853144,7782.9176056290125,1082.7227416540943,10064.335764728094,43053.614189299245,895.6631469557547,2843.195836455394,1275.7347331087901,573.0835776077037,1917.4985922855608
AUDpo5,7895.849176517327,3341.862847978639,4995.284600465502,669.5536507487757,6025.871896199327,23888.867671168264,587.0817718351532,1801.5234649069287,779.1818333383819,301.7282440928164,1121.3212332607143
AUDpo6a,9788.918409645266,3940.3446274402963,5552.086193164502,575.0741972061386,5567.877272997013,49416.437906170715,544.7489284353185,1828.2983254962542,632.011103319799,144.19908099813148,1087.209483135986
AUDpo6b,10739.017259239494,4351.038283635364,6047.336403250427,642.6702148551236,6202.919727573053,48980.81507434197,614.7678407487291,2114.278794768529,697.515240424833,137.59242524580213,1100.1318616038004
AUDv1,1951.1208541747817,757.8758470376,1117.0892533436042,101.01178903305949,1133.4586020866684,2783.2515745983465,81.86702101724687,303.5417618471052,115.01531699301081,47.151823935714205,290.1095639659556
AUDv23,9870.407049059848,3781.2669048799185,5671.6417974766755,474.03141779178696,5299.604489091694,51438.03937789952,387.48513547099543,1320.0125486527,550.8656584149976,240.21476356720385,1560.5872786729044
AUDv4,12366.847368034567,5252.92485320541,7963.06970975279,1097.847356605221,10210.868507456318,41670.35626223404,916.2763792908949,2929.406966394634,1287.1892562102805,560.2547765244105,1914.915795465907
AUDv5,6827.102874316655,2845.1444685642737,4185.408522521177,520.9786568405094,4657.839908847579,18870.62347944153,475.30647267071834,1436.763209462889,599.650619447062,203.01610938288155,895.4057040659777
AUDv6a,9888.978094436441,4044.274901899709,5713.483823810985,643.0718518357188,6068.158769383144,43979.828634759935,603.2607243177421,2005.8105020736114,711.9116750164715,177.4907738794725,1092.4889492720572
AUDv6b,10666.072666081463,4383.34804769069,6349.399778318016,742.917774051593,6949.402668410054,37482.87147823375,674.7913172942281,2169.5615989194735,842.1338599364333,266.5586285270313,1336.6780511711954
AV,10458.787298970972,5619.217978660299,9343.469106341052,2169.0039885630745,16455.154548567298,8724.568228120163,1859.406675665386,4894.018346346881,2635.0922135744568,1241.7737629203714,2071.2426606136337
AVP,13503.756330751128,7695.540180098503,13710.058869747692,3351.833125840553,23604.784980589782,7786.735580676566,2921.449970762452,6667.272514276972,4164.4891476023795,2055.6951986016384,3379.9908222718605
AVPV,21984.4673425382,12032.137094345684,20762.676511940663,4857.3732096104295,34784.3692691864,10306.012810538577,4257.714414245202,10063.529264652736,5986.87416897448,2858.6607140931865,4872.597533592877
Acs5,3194.0980282870382,1913.7996659714668,3522.968973086002,904.5224657304746,6302.540551964563,2614.233319284361,781.5809770259052,1741.5613040622554,1131.2391928192856,576.3749428821653,909.549322558277
B,8885.945345175765,5439.602231023812,10068.768630803082,2640.9153986726956,18347.26468889958,8794.621192294504,2279.894409981769,5083.785323728861,3303.2751308079196,1685.7404529612531,2589.952648924495
BA,1805.4006625899544,855.7804164098927,1370.9667586603616,254.21630398025667,2016.5052708988876,2806.716207266374,220.4804975770785,589.4732944518604,306.7021924995262,138.70758344171364,317.19638227548927
BLAa,6100.434549603664,3143.108045276624,5396.807721171106,1172.7145454161114,9261.714724361202,21119.524968344143,963.6534097579265,2532.3604297805,1443.5196490563017,750.6713429385171,1429.4203565752516
BLAp,6300.533257560749,2999.899294326075,5010.2889118915355,942.6613203473603,7654.927039823182,21017.42091835013,779.9854235702408,2064.742691486692,1156.3061854146674,589.9656269117049,1338.8547918465467
BLAv,6700.631469103275,2823.1596633661648,4348.544091683992,577.4438244854446,5123.770193683466,18394.23091216557,499.21250480146523,1431.6901851092248,686.59866216077,296.54099503462044,1078.3261366389543
BMAa,10327.624798364082,4423.3390507776485,6725.117218467311,936.92265121007,8001.186739676136,17964.992996275425,837.3382678319406,2367.3018683514515,1105.0524194685695,435.8439198951047,1530.8294887763768
BMAp,7593.197554370823,3648.5074350426444,6059.869599576221,1161.9432359270336,9388.545746799427,21606.830589838577,966.8028778724538,2578.6227278047963,1420.7584981466107,712.7708824937118,1574.6528586974073
BST,18251.87554808063,10283.731576658682,18114.25224801671,4383.586836516461,31144.128102980954,16867.540201029977,3819.17158525833,8876.33339880064,5429.205460473089,2655.652499171267,4387.625920271436
CA1slm,1468.5176588189622,632.8070966391731,1003.9298178928001,146.66552891904428,1318.4266788938198,1764.6878855407892,119.71430734295973,350.74415220623115,176.87140953809043,87.36298281417247,269.37589496137883
CA1so,4917.5740268821955,2571.1070203823215,4519.017888310518,1004.5737800255987,8020.384985915926,22372.00982964967,806.7137855811442,2124.955236227017,1244.257470003542,677.2273744003095,1273.1037453099423
CA1sp,5137.035501631173,2687.6659141756136,4737.381663483603,1061.737830903228,8763.568771564947,28555.0960140351,826.9937098881695,2291.9504118976583,1313.737061244218,738.7425816970009,1379.2181200964362
CA1sr,2794.5085935876923,1441.9082059992647,2534.5641929751914,556.5923334429001,4630.979168867987,14076.17127528579,431.69522655707317,1203.4951842134558,688.7482918213476,389.2090236427037,744.2254983426951
CA2slm,3650.682960786102,1533.9629303108168,2432.225059286754,326.43184049914373,3001.317527222972,8172.746669072401,265.310380216451,772.9135765585798,394.6884033674723,197.63458601934198,673.699388947922
CA2so,5549.692488928079,2999.9765693488125,5419.747099631123,1245.6748142184852,9401.617814563164,26584.90616484432,1029.5883388514994,2471.034398514149,1556.761498535084,838.2598440001217,1534.2398416753413
CA2sp,6782.370027626031,3668.537723883935,6586.652908557937,1526.0506576838168,11837.321612246145,37544.51694794472,1237.9968422991187,3120.276985639265,1900.2725908996997,1036.4976818163457,1872.1542192978427
CA2sr,2689.577652615626,1344.5299071738373,2295.194637744796,475.4777527138211,3845.266008042879,6905.656351968506,385.9767470579277,1034.4760826446663,585.1188196492222,308.7831395266707,624.3553206169169
CA3slm,6186.506298142464,2868.1949488137648,4463.986945207484,806.459642031422,7216.057786505626,20659.449149037486,647.1799233707242,2098.590637711578,955.3064074345833,456.9732494669973,1054.7985521300743
CA3slu,4843.041920421319,2420.570048870414,4154.09511638493,861.405794861771,7026.304640401249,18831.196102143967,692.0532378004145,1868.8356152176739,1061.6936808223006,569.9283289823685,1154.3735344215897
CA3so,5310.330774925556,2957.331475941682,5333.962661437207,1287.1946644304046,10028.832055486111,24186.76453273541,1036.1814608564414,2665.493779025645,1600.3023477780002,877.2285702690575,1507.7918603549258
CA3sp,6451.004069226985,3255.0973129132713,5680.573412703905,1191.231044355739,9542.978465654915,27381.279707866437,961.4642084596346,2496.648773508286,1477.3011760346083,801.9070992537686,1617.1897819282844
CA3sr,4641.5276082422415,2169.0565543451476,3543.196951844221,646.0243582909126,5509.727912282048,14548.822460172385,522.300194625805,1503.710874378928,784.3968149951684,400.46907707359304,934.3229786499518
CBunassigned,41324.299900061946,20497.884609214827,34822.15985600502,7005.131375977374,52833.965529649424,30392.910076681717,6035.573102032674,14556.808644267216,8644.738178744376,4248.771879478463,8935.07432738668
CEAc,12980.193661143649,7486.218764169839,13531.122505985777,3356.356565851276,24043.846520031202,27029.369845295965,2871.29417681625,6646.695110468351,4181.410010849492,2135.169279031326,3496.9844910228107
CEAl,16753.46895831568,10036.448124387789,18295.62944202229,4712.4638079630795,32899.88571964707,31382.551650059842,4082.4388185399116,9218.50893109187,5875.950432406599,2956.9982383100496,4596.759158709687
CEAm,13892.870423416703,7756.758892592673,13577.684016764102,3259.039509557526,23457.913400265606,15899.93371945614,2823.4660025528237,6691.451721545457,4028.536286523209,1974.5670609359684,3287.841459621467
CENT2,167721.92638750427,71578.33792095572,116417.0314068301,16672.8433844332,153068.85608764424,459922.188949291,13092.427156900252,37930.36665837944,20398.9428491811,11032.615157028506,34133.21048066166
CENT2granularlayer,152505.27892417554,64367.5134561191,105300.33178762314,14604.31156731309,136399.2986164001,452795.13121469296,11275.72442937821,32746.158010564282,17949.778727602155,10019.521458512787,31876.151994081494
CENT2molecularlayer,13423.355809575378,6130.027847453328,9108.584306122351,1551.0269798410188,13063.005688605403,7127.057734598045,1371.327029789721,4198.702283115699,1800.4720431355017,678.5900766402359,1727.0293955800635
CENT2purkinjelayer,1921.950210135966,1156.9330408137153,2147.3402366868636,553.2902121471917,3873.3349599784597,0.0,474.9270409553732,1058.0327337818915,693.2471391541503,358.2770252057345,567.7222690456017
CENT3,138984.41971585777,59692.94842926668,97398.60315975994,14227.9349773191,129324.74696380548,379735.56148992607,11211.453445782841,32144.202620267286,17426.769717807034,9414.15101251189,28505.188972400323
CENT3granularlayer,126902.11981430714,53949.727109201034,88529.9667079148,12565.900252311556,115947.1611146981,373995.79434823047,9753.552557090552,27988.227155984874,15457.585894558568,8595.718979714815,26701.58550510308
CENT3molecularlayer,10697.62484603153,4906.994435550448,7311.900775463899,1260.2567065548822,10579.839231096092,5806.725668578977,1112.2177396645216,3392.7751934782386,1465.327475658065,558.1805050967018,1391.3812448424196
CENT3purkinjelayer,1597.0372056646847,961.8059175031376,1786.1262834272018,460.39134813120387,3223.2086364249853,0.0,395.0774861153873,879.9262251464766,576.9162722126214,298.3637101786504,472.78545448584447
CL,12954.297440499991,6903.729992503468,11862.815461830221,2699.2912585310355,20450.205590884878,15641.769376916673,2281.8658606100157,5765.395306609109,3320.217583502533,1659.2780478639013,2955.503207330526
CLA,11914.267342598812,5284.162418113763,8094.843876069293,1279.367737697135,11186.817754957468,40413.26534681327,1086.3262288377155,3300.6693179923527,1509.8333278388766,653.9726891428683,1853.04956835727
CLI,5332.9792277577035,3223.921984034015,5940.933538503404,1541.5457770516443,10794.721031191471,3541.410363574635,1326.5389673542759,2986.2374198716866,1926.7259364514516,985.3671284969231,1533.8104602465232
